prompt,response
What are the two phases of IKE (Internet Key Exchange) in a Site-to-Site setup?,IKE Phase 1 (Main Mode/Aggressive Mode) and IKE Phase 2 (Quick Mode).
What is negotiated in IKE Phase 1 for a Site-to-Site tunnel?,"IKE Phase 1 establishes a secure, authenticated channel (ISAKMP SA) between the two VPN gateways."
What is negotiated in IKE Phase 2 for a Site-to-Site tunnel?,IKE Phase 2 negotiates the actual IPsec SAs that protect the user data traffic between the two networks.
What authentication methods are commonly used for Site-to-Site IKE?,Pre-shared keys (PSK) and digital certificates are common.
"When setting up a Site-to-Site tunnel, what are common Phase 1 parameters that must match?","Encryption algorithm, hashing algorithm, Diffie-Hellman group, authentication method, and lifetime."
"When setting up a Site-to-Site tunnel, what are common Phase 2 parameters that must match?","IPsec protocol (ESP/AH), encryption algorithm, hashing algorithm, Perfect Forward Secrecy (PFS) settings, and lifetime."
What is the significance of non-overlapping CIDR blocks in Site-to-Site VPNs?,The local and remote network CIDR blocks must not overlap for routing to function correctly across the tunnel.
Can dynamic routing protocols be run over a Site-to-Site IPsec tunnel?,"Yes, if the tunnel is route-based (e.g., using VTIs or GRE over IPsec), dynamic routing protocols like BGP or OSPF can be run over it."
What is a common routing method for policy-based Site-to-Site tunnels?,"Static routes are commonly used for policy-based tunnels, pointing to the remote network via the VPN gateway's external interface."
What is a common routing method for route-based Site-to-Site tunnels?,"Static routes pointing to the tunnel interface, or dynamic routing protocols running over the tunnel interface."
What is NAT-Traversal (NAT-T) used for in Site-to-Site tunnels?,NAT-T allows IPsec traffic to pass through Network Address Translation (NAT) devices by encapsulating IPsec packets in UDP port 4500.
Why is NAT-T important for Site-to-Site VPNs over the internet?,"Many organizations use NAT, and NAT-T ensures IPsec tunnels can be established even when one or both VPN gateways are behind NAT devices."
What is Dead Peer Detection (DPD) used for in Site-to-Site tunnels?,"DPD is used to detect if the remote VPN gateway is no longer reachable, allowing the local gateway to tear down the tunnel and potentially re-establish it or failover."
How does DPD help with failover in Site-to-Site VPNs?,"By quickly detecting dead peers, DPD enables quicker failover to redundant tunnels or paths."
What is a 'local proxy ID' in a policy-based Site-to-Site tunnel?,The local proxy ID (or local traffic selector) defines the local network's CIDR or specific hosts whose traffic will be encrypted.
What is a 'remote proxy ID' in a policy-based Site-to-Site tunnel?,The remote proxy ID (or remote traffic selector) defines the remote network's CIDR or specific hosts that are reachable via the tunnel.
What happens if local and remote proxy IDs don't match?,The Site-to-Site IPsec tunnel will not establish or will fail during Phase 2 negotiation.
What is the typical network setup for a Site-to-Site VPN gateway?,A VPN gateway usually has at least two interfaces: one connected to the internet/public network and one connected to the local private network.
Can a Site-to-Site IPsec tunnel connect two AWS VPCs directly?,"No, AWS VPC peering is used for direct VPC-to-VPC connections. IPsec is typically used for VPC-to-on-premises or VPC-to-other-cloud connections."
How are AWS Site-to-Site VPN connections typically configured on the AWS side?,"Using a Virtual Private Gateway (VGW) or a Transit Gateway, which handle the IPsec termination."
What is the main benefit of using a Transit Gateway for Site-to-Site VPNs in AWS?,"Transit Gateway allows multiple VPCs to share a single VPN connection to on-premises, simplifying network architecture and routing."
What is the difference between a policy-based and a route-based Site-to-Site VPN?,Policy-based uses ACLs to define interesting traffic; route-based uses a dedicated tunnel interface and routes traffic into it.
Which type of Site-to-Site VPN is generally more flexible for complex routing?,Route-based VPNs are generally more flexible as they allow dynamic routing protocols.
What is the role of a crypto map in a policy-based Site-to-Site VPN?,"A crypto map ties together the IPsec parameters (transform set), interesting traffic (ACL), and the remote peer for application to an interface."
What is the role of a Virtual Tunnel Interface (VTI) in a route-based Site-to-Site VPN?,"A VTI is a logical interface that acts as the ingress/egress for encrypted traffic, allowing routing protocols to interact with it."
Can Site-to-Site IPsec protect multicast traffic natively?,"No, native IPsec (AH/ESP) does not directly support multicast. GRE over IPsec is often used for this."
How do you ensure Perfect Forward Secrecy (PFS) in a Site-to-Site tunnel?,By configuring the same DH group for PFS in IKE Phase 2 on both VPN gateways.
What is an IPsec tunnel endpoint?,An IPsec tunnel endpoint is the IP address of the VPN gateway that terminates the IPsec tunnel on each side.
What is a common reason for a Site-to-Site IPsec tunnel to fail to come up (Phase 1)?,"Mismatched pre-shared keys, incorrect public IP addresses for peers, or mismatched IKE Phase 1 proposals (encryption, hash, DH group, lifetime)."
"What is a common reason for a Site-to-Site IPsec tunnel to come up, but traffic doesn't pass (Phase 2)?","Mismatched Phase 2 transform sets, incorrect 'interesting traffic' (proxy IDs/traffic selectors), or routing issues behind the VPN gateways."
How do you troubleshoot routing issues in a Site-to-Site VPN?,"Verify static routes or BGP neighbors, check routing tables on"
"What is a Site-to-Site IPsec tunnel?,""A Site-to-Site IPsec tunnel securely connects two geographically separated private networks over a public network like the internet.""",
"What is the primary goal of a Site-to-Site IPsec tunnel?,""Its primary goal is to allow resources in one private network to securely communicate with resources in another private network as if they were on the same local network.""",
"What kind of traffic does a Site-to-Site tunnel protect?,""It protects traffic between specified internal subnets or hosts on both sides of the tunnel.""",
"What are the main components required to establish a Site-to-Site IPsec tunnel?,""Two VPN gateways (routers/firewalls), IPsec configuration (IKE, IPsec policies), and routing information for remote networks.""",
"In Site-to-Site IPsec, what does 'interesting traffic' refer to?,""'Interesting traffic' is the specific IP traffic between the two private networks that needs to be encrypted and sent through the tunnel.""",
"What is the role of the VPN gateway in a Site-to-Site tunnel?,""The VPN gateway (e.g., router, firewall) acts as the endpoint for the IPsec tunnel, encrypting/decrypting traffic before it enters/leaves the private network.""",
"Does Site-to-Site IPsec typically use Transport Mode or Tunnel Mode?,""Site-to-Site IPsec almost exclusively uses Tunnel Mode.""",
"Why is Tunnel Mode preferred for Site-to-Site VPNs?,""Tunnel Mode encrypts the entire original IP packet and adds a new outer IP header, making it ideal for connecting entire networks.""",
"What are the two phases of IKE (Internet Key Exchange) in a Site-to-Site setup?,""IKE Phase 1 (Main Mode/Aggressive Mode) and IKE Phase 2 (Quick Mode).""",
"What is negotiated in IKE Phase 1 for a Site-to-Site tunnel?,""IKE Phase 1 establishes a secure, authenticated channel (ISAKMP SA) between the two VPN gateways.""",
"What is negotiated in IKE Phase 2 for a Site-to-Site tunnel?,""IKE Phase 2 negotiates the actual IPsec SAs that protect the user data traffic between the two networks.""",
"What authentication methods are commonly used for Site-to-Site IKE?,""Pre-shared keys (PSK) and digital certificates are common.""",
"When setting up a Site-to-Site tunnel, what are common Phase 1 parameters that must match?,""Encryption algorithm, hashing algorithm, Diffie-Hellman group, authentication method, and lifetime.""",
"When setting up a Site-to-Site tunnel, what are common Phase 2 parameters that must match?,""IPsec protocol (ESP/AH), encryption algorithm, hashing algorithm, Perfect Forward Secrecy (PFS) settings, and lifetime.""",
"What is the significance of non-overlapping CIDR blocks in Site-to-Site VPNs?,""The local and remote network CIDR blocks must not overlap for routing to function correctly across the tunnel.""",
"Can dynamic routing protocols be run over a Site-to-Site IPsec tunnel?,""Yes, if the tunnel is route-based (e.g., using VTIs or GRE over IPsec), dynamic routing protocols like BGP or OSPF can be run over it.""",
"What is a common routing method for policy-based Site-to-Site tunnels?,""Static routes are commonly used for policy-based tunnels, pointing to the remote network via the VPN gateway's external interface.""",
"What is a common routing method for route-based Site-to-Site tunnels?,""Static routes pointing to the tunnel interface, or dynamic routing protocols running over the tunnel interface.""",
"What is NAT-Traversal (NAT-T) used for in Site-to-Site tunnels?,""NAT-T allows IPsec traffic to pass through Network Address Translation (NAT) devices by encapsulating IPsec packets in UDP port 4500.""",
"Why is NAT-T important for Site-to-Site VPNs over the internet?,""Many organizations use NAT, and NAT-T ensures IPsec tunnels can be established even when one or both VPN gateways are behind NAT devices.""",
"What is Dead Peer Detection (DPD) used for in Site-to-Site tunnels?,""DPD is used to detect if the remote VPN gateway is no longer reachable, allowing the local gateway to tear down the tunnel and potentially re-establish it or failover.""",
"How does DPD help with failover in Site-to-Site VPNs?,""By quickly detecting dead peers, DPD enables quicker failover to redundant tunnels or paths.""",
"What is a 'local proxy ID' in a policy-based Site-to-Site tunnel?,""The local proxy ID (or local traffic selector) defines the local network's CIDR or specific hosts whose traffic will be encrypted.""",
"What is a 'remote proxy ID' in a policy-based Site-to-Site tunnel?,""The remote proxy ID (or remote traffic selector) defines the remote network's CIDR or specific hosts that are reachable via the tunnel.""",
"What happens if local and remote proxy IDs don't match?,""The Site-to-Site IPsec tunnel will not establish or will fail during Phase 2 negotiation.""",
"What is the typical network setup for a Site-to-Site VPN gateway?,""A VPN gateway usually has at least two interfaces: one connected to the internet/public network and one connected to the local private network.""",
"Can a Site-to-Site IPsec tunnel connect two AWS VPCs directly?,""No, AWS VPC peering is used for direct VPC-to-VPC connections. IPsec is typically used for VPC-to-on-premises or VPC-to-other-cloud connections.""",
"How are AWS Site-to-Site VPN connections typically configured on the AWS side?,""Using a Virtual Private Gateway (VGW) or a Transit Gateway, which handle the IPsec termination.""",
"What is the main benefit of using a Transit Gateway for Site-to-Site VPNs in AWS?,""Transit Gateway allows multiple VPCs to share a single VPN connection to on-premises, simplifying network architecture and routing.""",
"What is the difference between a policy-based and a route-based Site-to-Site VPN?,""Policy-based uses ACLs to define interesting traffic; route-based uses a dedicated tunnel interface and routes traffic into it.""",
"Which type of Site-to-Site VPN is generally more flexible for complex routing?,""Route-based VPNs are generally more flexible as they allow dynamic routing protocols.""",
"What is the role of a crypto map in a policy-based Site-to-Site VPN?,""A crypto map ties together the IPsec parameters (transform set), interesting traffic (ACL), and the remote peer for application to an interface.""",
"What is the role of a Virtual Tunnel Interface (VTI) in a route-based Site-to-Site VPN?,""A VTI is a logical interface that acts as the ingress/egress for encrypted traffic, allowing routing protocols to interact with it.""",
"Can Site-to-Site IPsec protect multicast traffic natively?,""No, native IPsec (AH/ESP) does not directly support multicast. GRE over IPsec is often used for this.""",
"How do you ensure Perfect Forward Secrecy (PFS) in a Site-to-Site tunnel?,""By configuring the same DH group for PFS in IKE Phase 2 on both VPN gateways.""",
"What is an IPsec tunnel endpoint?,""An IPsec tunnel endpoint is the IP address of the VPN gateway that terminates the IPsec tunnel on each side.""",
"What is a common reason for a Site-to-Site IPsec tunnel to fail to come up (Phase 1)?,""Mismatched pre-shared keys, incorrect public IP addresses for peers, or mismatched IKE Phase 1 proposals (encryption, hash, DH group, lifetime).""",
"What is a common reason for a Site-to-Site IPsec tunnel to come up, but traffic doesn't pass (Phase 2)?,""Mismatched Phase 2 transform sets, incorrect 'interesting traffic' (proxy IDs/traffic selectors), or routing issues behind the VPN gateways.""",
"How do you troubleshoot routing issues in a Site-to-Site VPN?,""Verify static routes or BGP neighbors, check routing tables on both sides for correct remote network entries, and ensure no overlapping CIDRs.""",
"What is the impact of MTU mismatch on a Site-to-Site IPsec tunnel?,""MTU mismatch can lead to packet fragmentation, reassembly issues, and performance degradation or packet loss.""",
"How can you typically mitigate MTU issues in IPsec tunnels?,""By adjusting the TCP MSS (Maximum Segment Size) value or the tunnel's MTU to account for IPsec overhead.""",
"What is a common IPsec tunnel MTU after encapsulation?,""Typically around 1380 to 1400 bytes, as the IPsec headers add overhead to the original packet.""",
"What are the default ports that need to be open on firewalls for IPsec?,""UDP 500 (for IKE) and UDP 4500 (for IKE/NAT-T), and IP protocols 50 (ESP) and 51 (AH).""",
"Can two Site-to-Site tunnels be established between the same two VPN gateways?,""Yes, multiple tunnels can be established, often for redundancy or to carry different classes of traffic with different policies.""",
"What is a redundant Site-to-Site VPN setup?,""A redundant setup involves having multiple VPN tunnels or multiple VPN gateways on each side to ensure connectivity even if one path or device fails.""",
"What is a backup Site-to-Site tunnel?,""A backup tunnel is a secondary VPN connection that becomes active only if the primary tunnel fails, providing failover.""",
"How can you monitor the status of a Site-to-Site IPsec tunnel?,""By checking VPN gateway logs, `show crypto ipsec sa`, `show crypto ikev2 sa` commands, and monitoring interface status for route-based tunnels.""",
"What are IPsec policies in a Site-to-Site context?,""IPsec policies define the specific security parameters (encryption, authentication) for securing data traffic.""",
"What is an IPsec profile (in some implementations like Cisco)?,""An IPsec profile groups IPsec parameters like transform-set, DPD, and PFS to be applied to a tunnel interface in route-based VPNs.""",
"How is a Site-to-Site VPN typically identified on each side?,""By the public IP addresses of the VPN gateways (peers).""",
"Can Site-to-Site IPsec tunnels be encrypted with AES-256?,""Yes, AES-256 is a common and strong encryption algorithm used in IPsec.""",
"What is the purpose of anti-replay protection in Site-to-Site IPsec?,""It prevents an attacker from capturing and re-transmitting legitimate packets to cause denial-of-service or other attacks.""",
"What is a split tunnel vs. full tunnel in a VPN context?,""Split tunnel sends only specified traffic over the VPN; full tunnel sends all traffic over the VPN. More common in remote access, but concepts apply to S2S routing.""",
"Can Site-to-Site IPsec be used with IPv6?,""Yes, IPsec protocols are designed to support both IPv4 and IPv6 traffic.""",
"What is the role of a static route for a Site-to-Site VPN?,""A static route directs traffic for the remote network to the IPsec VPN gateway's interface or the tunnel interface.""",
"What is a security vulnerability of using a very short IKE lifetime?,""It increases CPU overhead due to frequent rekeying, but enhances security by limiting key exposure.""",
"What is a security vulnerability of using a very long IKE lifetime?,""It increases the window for a compromised key to be exploited, decreasing overall security.""",
"How does a Site-to-Site VPN improve data confidentiality?,""By encrypting all 'interesting traffic' that traverses the public network.""",
"How does a Site-to-Site VPN improve data integrity?,""By using hashing algorithms (like SHA) to ensure that data has not been tampered with in transit.""",
"How does a Site-to-Site VPN provide authentication?,""By authenticating the VPN gateways using pre-shared keys or certificates during IKE Phase 1.""",
"What is a common use case for a Site-to-Site IPsec tunnel in cloud migration?,""Connecting an on-premises data center to a cloud VPC/VNet to extend the enterprise network securely.""",
"What is the difference between an on-premises VPN gateway and a cloud VPN gateway?,""An on-premises gateway is a physical or virtual appliance you manage; a cloud gateway is a managed service provided by the cloud provider (e.g., AWS VGW, Azure VPN Gateway).""",
"Can a single VPN gateway support multiple Site-to-Site tunnels to different remote sites?,""Yes, a single VPN gateway can serve as a VPN headend for multiple Site-to-Site tunnels.""",
"What is a hub-and-spoke Site-to-Site VPN topology?,""A topology where multiple 'spoke' sites connect to a central 'hub' site via individual VPN tunnels. Spokes typically don't communicate directly.""",
"What is a full-mesh Site-to-Site VPN topology?,""A topology where every site has a direct VPN tunnel to every other site, allowing direct communication but increasing complexity with more sites.""",
"Which Site-to-Site VPN topology is easier to manage with many sites?,""Hub-and-spoke is generally easier to manage with many sites compared to full-mesh.""",
"What is a common challenge when debugging Site-to-Site VPNs?,""Asymmetric routing, mismatched configurations on either side, and firewall rules blocking IPsec ports/protocols.""",
"What is the role of a network administrator in a Site-to-Site VPN setup?,""To configure, monitor, and troubleshoot the VPN gateways and associated routing on both sides.""",
"Can Site-to-Site VPNs be used for connecting different departments within the same company?,""Yes, if departments are geographically separated and have their own private networks.""",
"Are Site-to-Site IPsec tunnels typically always-on or on-demand?,""They are typically always-on, maintaining a persistent secure connection between networks.""",
"What is the importance of keeping VPN gateway firmware/software updated?,""To ensure security patches are applied and to support newer IPsec features and algorithms.""",
"How does IPsec protect against eavesdropping on a Site-to-Site connection?,""Through encryption provided by ESP, which scrambles the data payload.""",
"What are the main IPsec security services for Site-to-Site tunnels?,""Confidentiality, integrity, authentication, and anti-replay protection for data between sites.""",
"Can SD-WAN solutions integrate with Site-to-Site IPsec?,""Yes, many SD-WAN solutions build their secure overlays using IPsec tunnels for site-to-site connectivity.""",
"What is the difference between a crypto ACL and a normal ACL?,""A crypto ACL defines traffic for encryption; a normal ACL defines traffic for filtering or other routing/policy actions.""",
"What is the purpose of 'ip nat inside/outside' in a Cisco context for Site-to-Site VPNs?,""It defines interfaces as belonging to inside or outside NAT zones, influencing how NAT is applied (or bypassed for encrypted traffic).""",
